Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Establishment of Protein Localization to Extracellular Region (GO:0035592),GO_Biological_Process_2025,1.1247290015230436,Upregulated,0.4139798001537434,21/31,38.70%
Mitochondrial Long Chain Fatty Acid Beta Oxidation WP368,WikiPathways_2024_Human,1.1241568501248418,Upregulated,0.4148119853193739,8/16,23.81%
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,Reactome_2022,1.123450546628202,Upregulated,0.4158886025124687,5/24,6.54%
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome_2022,1.1234404830747238,Upregulated,0.4157285983323064,6/22,13.47%
Positive Regulation of Cell Cycle Phase Transition (GO:1901989),GO_Biological_Process_2025,1.1232701919428345,Upregulated,0.4158627535257559,8/17,31.21%
Pulmonary Valve Morphogenesis (GO:0003184),GO_Biological_Process_2025,1.122806493117065,Upregulated,0.416544637577509,4/17,12.21%
Limb Morphogenesis (GO:0035108),GO_Biological_Process_2025,1.122713185656624,Upregulated,0.4165264486507756,6/16,23.20%
2Q11 2 Copy Number Variation Syndrome WP5221,WikiPathways_2024_Human,1.1225101038609795,Upregulated,0.4167064907639557,6/26,11.64%
Lipid Droplet Organization (GO:0034389),GO_Biological_Process_2025,1.1221643369072791,Upregulated,0.4171521378959701,7/30,12.22%
Other Interleukin Signaling R-HSA-449836,Reactome_2022,1.1219956118806127,Upregulated,0.4172814823300586,5/18,10.87%
Negative Regulation of Epithelial to Mesenchymal Transition (GO:0010719),GO_Biological_Process_2025,1.121435267778856,Upregulated,0.4181709203565196,12/34,21.91%
Determination of Heart Left/Right Asymmetry (GO:0061371),GO_Biological_Process_2025,1.1214207290900404,Upregulated,0.4180191403321814,10/38,16.75%
SH2 Domain Binding (GO:0042169),GO_Molecular_Function_2025,1.121287945540651,Upregulated,0.418063978617982,9/24,25.35%
Regulation of Cell-Cell Adhesion Mediated by Cadherin (GO:2000047),GO_Biological_Process_2025,1.120779876926476,Upregulated,0.4188368468171284,7/20,19.29%
Cell Migration Involved in Sprouting Angiogenesis (GO:0002042),GO_Biological_Process_2025,1.1207162570261582,Upregulated,0.4187671341156358,6/18,14.19%
Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795,Reactome_2022,1.120697294192898,Upregulated,0.4186201133135218,11/29,26.36%
Cardiac Conduction R-HSA-5576891,Reactome_2022,1.1205922052224342,Upregulated,0.4186304822555817,39/97,28.31%
Inorganic Cation Transmembrane Transport (GO:0098662),GO_Biological_Process_2025,1.120379781104934,Upregulated,0.4188356074916842,68/240,23.33%
Signaling By NOTCH4 R-HSA-9013694,Reactome_2022,1.1203691964488516,Upregulated,0.4186801147527664,16/72,26.21%
G-protein Activation R-HSA-202040,Reactome_2022,1.120326298398858,Upregulated,0.4185670414995273,5/23,6.96%
10Q22Q23 Copy Number Variation WP5402,WikiPathways_2024_Human,1.1201924718792922,Upregulated,0.4186296017255604,25/53,29.66%
Regulation of Fibroblast Migration (GO:0010762),GO_Biological_Process_2025,1.1192476021235187,Upregulated,0.4201876107719251,6/19,15.47%
Endocardial Cushion Development (GO:0003197),GO_Biological_Process_2025,1.1189356449833303,Upregulated,0.4205583848529411,10/20,24.59%
Kinase Activator Activity (GO:0019209),GO_Molecular_Function_2025,1.1188824263298704,Upregulated,0.4204705392990291,10/36,20.97%
Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),GO_Molecular_Function_2025,1.1184776921897277,Upregulated,0.4210617410648342,5/34,5.83%
Kinetochore Microtubule (GO:0005828),GO_Cellular_Component_2025,1.117285917600504,Upregulated,0.4230571284548394,7/16,21.46%
Positive Regulation of Metabolic Process (GO:0009893),GO_Biological_Process_2025,1.1165264549965417,Upregulated,0.4242790602180159,49/117,29.82%
Detoxification Of Reactive Oxygen Species R-HSA-3299685,Reactome_2022,1.1156837677940636,Upregulated,0.4256448439836429,16/27,40.22%
miRNA-mediated Post-Transcriptional Gene Silencing (GO:0035195),GO_Biological_Process_2025,1.1155346906349528,Upregulated,0.4257643088036729,6/23,16.50%
Regulation of Carbohydrate Metabolic Process (GO:0006109),GO_Biological_Process_2025,1.1154530204795992,Upregulated,0.4257290080333482,10/15,34.81%
Regulation of Translation (GO:0006417),GO_Biological_Process_2025,1.1152909589656002,Upregulated,0.4258234265208022,36/179,19.38%
Negative Regulation of Cell Communication (GO:0010648),GO_Biological_Process_2025,1.1152575596741288,Upregulated,0.4256988470494774,10/18,29.64%
Positive Regulation of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),GO_Biological_Process_2025,1.1149014872628853,Upregulated,0.4262068144631126,23/76,21.18%
Peptidyl-Serine Phosphorylation (GO:0018105),GO_Biological_Process_2025,1.114338259403314,Upregulated,0.4270853249729988,14/58,15.21%
RAF/MAP Kinase Cascade R-HSA-5673001,Reactome_2022,1.1130635198758458,Upregulated,0.4292774569048931,77/230,30.28%
Negative Regulation of Response to Endoplasmic Reticulum Stress (GO:1903573),GO_Biological_Process_2025,1.112505490851281,Upregulated,0.4301264672449539,13/24,38.22%
GTPase Regulator Activity (GO:0030695),GO_Molecular_Function_2025,1.1115232840261675,Upregulated,0.4317800007236806,127/368,28.88%
1P36 Copy Number Variation Syndrome WP5345,WikiPathways_2024_Human,1.1110597061079994,Upregulated,0.4324666534508486,20/76,22.86%
Cytoprotection By HMOX1 R-HSA-9707564,Reactome_2022,1.1108686059112571,Upregulated,0.4326395946891763,7/46,9.00%
Positive Regulation of Extracellular Matrix Organization (GO:1903055),GO_Biological_Process_2025,1.110332101650778,Upregulated,0.433467737994698,10/18,27.48%
Peptide Hormone Processing (GO:0016486),GO_Biological_Process_2025,1.1101219024428677,Upregulated,0.4336837156627303,10/23,23.39%
Protein-Containing Complex Organization (GO:0043933),GO_Biological_Process_2025,1.1097778106316294,Upregulated,0.434124324506089,28/106,20.28%
Negative Regulation of Cellular Component Organization (GO:0051129),GO_Biological_Process_2025,1.1096163347329089,Upregulated,0.4342283300177409,19/62,20.92%
Positive Regulation of Protein-Containing Complex Assembly (GO:0031334),GO_Biological_Process_2025,1.1075031794854742,Upregulated,0.4379744822444348,24/81,25.33%
Pentose phosphate pathway,KEGG_2021_Human,1.107382877987423,Upregulated,0.4380084524251905,11/25,25.67%
Regulation of Receptor Internalization (GO:0002090),GO_Biological_Process_2025,1.107132761664448,Upregulated,0.4382702383731893,8/32,15.38%
