Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Positive Regulation of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),GO_Biological_Process_2025,1.6019800675931686,Upregulated,0.2426916114979901,16/29,23.30%
Antigen Processing and Presentation of Endogenous Peptide Antigen (GO:0002483),GO_Biological_Process_2025,1.6005422362282955,Upregulated,0.2433620202571026,6/17,6.07%
Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,Reactome_2022,1.597321858098339,Upregulated,0.2477902415376164,12/36,14.80%
Dilated cardiomyopathy,KEGG_2021_Human,1.5967793926960625,Upregulated,0.2468103316757419,27/88,13.40%
Establishment of Protein Localization to Extracellular Region (GO:0035592),GO_Biological_Process_2025,1.596713797348475,Upregulated,0.2450143857364181,15/37,22.04%
Endoplasmic Reticulum to Cytosol Transport (GO:1903513),GO_Biological_Process_2025,1.5953116335621231,Upregulated,0.2458084814437504,10/16,22.29%
Dendrite Morphogenesis (GO:0048813),GO_Biological_Process_2025,1.5888243581612185,Upregulated,0.2558859456097962,16/33,28.84%
Activation Of ATR In Response To Replication Stress R-HSA-176187,Reactome_2022,1.588213561642222,Upregulated,0.2550526191483973,15/35,22.21%
Endothelial Cell Migration (GO:0043542),GO_Biological_Process_2025,1.587666013393218,Upregulated,0.2542441333126344,16/38,23.90%
Coated Vesicle Membrane (GO:0030662),GO_Cellular_Component_2025,1.5858602217184696,Upregulated,0.2561026609164799,16/44,18.38%
Positive Regulation of Synapse Assembly (GO:0051965),GO_Biological_Process_2025,1.5836176267151856,Upregulated,0.2583726232026017,11/30,17.60%
Muscle Contraction R-HSA-397014,Reactome_2022,1.5826946201369292,Upregulated,0.2583218653058612,61/172,21.13%
Post-chaperonin Tubulin Folding Pathway R-HSA-389977,Reactome_2022,1.5819076103069427,Upregulated,0.2580347494868417,9/18,19.48%
Negative Regulation of Cation Channel Activity (GO:2001258),GO_Biological_Process_2025,1.5803060228709476,Upregulated,0.2595053590047016,9/17,15.99%
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Reactome_2022,1.574229766047117,Upregulated,0.2694251227639602,27/58,29.27%
Protein Targeting to ER (GO:0045047),GO_Biological_Process_2025,1.5729787238374764,Upregulated,0.2701430636966518,12/23,36.03%
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300,WikiPathways_2024_Human,1.5727196411213238,Upregulated,0.2687950535123122,11/18,26.26%
Sarcoplasmic Reticulum Membrane (GO:0033017),GO_Cellular_Component_2025,1.5718017979281915,Upregulated,0.2687411465023643,12/28,17.08%
Development Of Ureteric Derived Collecting System WP5053,WikiPathways_2024_Human,1.5700767192609622,Upregulated,0.2704081741944393,21/56,17.90%
Cell-Cell Junction Organization (GO:0045216),GO_Biological_Process_2025,1.5695695165378332,Upregulated,0.2695375857338904,18/55,17.92%
Glucagon-type Ligand Receptors R-HSA-420092,Reactome_2022,1.5645508092737497,Upregulated,0.2777427323263884,6/22,10.80%
"Retrograde Vesicle-Mediated Transport, Golgi to Endoplasmic Reticulum (GO:0006890)",GO_Biological_Process_2025,1.5614428526045354,Upregulated,0.2821653100818428,15/44,17.72%
Gap Junction Trafficking R-HSA-190828,Reactome_2022,1.560612054446475,Upregulated,0.2818449806328639,8/18,18.00%
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Reactome_2022,1.5585625991258203,Upregulated,0.2842326443156981,8/17,25.33%
Reg of Cardiac Muscle Contraction by Reg of the Release of Sequestered Calcium Ion (GO:0010881),GO_Biological_Process_2025,1.5581561612317354,Upregulated,0.283112861314214,9/15,17.08%
Anterograde Trans-Synaptic Signaling (GO:0098916),GO_Biological_Process_2025,1.5571218990867537,Upregulated,0.2833282551225674,41/139,19.05%
Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),GO_Biological_Process_2025,1.555756547114413,Upregulated,0.2842286958022422,11/21,21.01%
Embryonic Organ Development (GO:0048568),GO_Biological_Process_2025,1.5532425142646915,Upregulated,0.2874182215853801,25/63,21.36%
N-acyltransferase Activity (GO:0016410),GO_Molecular_Function_2025,1.5498530485703177,Upregulated,0.2924750939964421,8/26,8.15%
Striated Muscle Cell Differentiation (GO:0051146),GO_Biological_Process_2025,1.5496344337765655,Upregulated,0.2909586660114582,9/18,22.20%
Acyl Chain Remodelling Of PE R-HSA-1482839,Reactome_2022,1.5476271925046838,Upregulated,0.2933304281288934,8/22,15.35%
Inwardly Rectifying K+ Channels R-HSA-1296065,Reactome_2022,1.547187417165766,Upregulated,0.2924781735352686,8/26,13.24%
Cardiac Muscle Cell Contraction (GO:0086003),GO_Biological_Process_2025,1.5451564209072246,Upregulated,0.2948821352416109,8/23,16.08%
Striated Muscle Tissue Development (GO:0014706),GO_Biological_Process_2025,1.5446729071818392,Upregulated,0.2940924708393337,11/31,13.90%
Nitric Oxide Biosynthetic Process (GO:0006809),GO_Biological_Process_2025,1.543757480353274,Upregulated,0.294159774985675,9/15,32.12%
Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,Reactome_2022,1.5436999363231445,Upregulated,0.2924618181927939,6/24,7.09%
Alzheimer disease,KEGG_2021_Human,1.5435244786240665,Upregulated,0.2910067784382346,82/325,17.74%
COPII-coated Vesicle Cargo Loading (GO:0090110),GO_Biological_Process_2025,1.5392509470950553,Upregulated,0.298392452292374,5/16,12.86%
Elastic Fibre Formation R-HSA-1566948,Reactome_2022,1.5379723263859142,Upregulated,0.2995810685857944,13/36,26.40%
Golgi-associated Vesicle Membrane (GO:0030660),GO_Cellular_Component_2025,1.5332974604967446,Upregulated,0.3078077189640482,6/20,7.43%
Glutathione metabolism,KEGG_2021_Human,1.5328571341399413,Upregulated,0.3069139582759569,13/49,9.69%
Regulation of Postsynaptic Membrane Potential (GO:0060078),GO_Biological_Process_2025,1.531404624634119,Upregulated,0.3062562775976105,8/19,13.48%
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",GO_Biological_Process_2025,1.531404624634119,Upregulated,0.3062562775976105,8/19,13.48%
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,Reactome_2022,1.530930434190942,Upregulated,0.3056050899083639,8/18,19.38%
Skeletal Muscle Tissue Development (GO:0007519),GO_Biological_Process_2025,1.5306531387027111,Upregulated,0.3044290164404476,16/35,27.49%
Cell Junction Organization (GO:0034330),GO_Biological_Process_2025,1.5284444692997183,Upregulated,0.3073978082401216,22/63,16.30%
DNA Strand Elongation R-HSA-69190,Reactome_2022,1.5271837728257012,Upregulated,0.3083115439137442,14/30,22.21%
Molecules Associated With Elastic Fibres R-HSA-2129379,Reactome_2022,1.5257022333198555,Upregulated,0.3096294559250527,11/27,26.40%
Hypertrophic cardiomyopathy,KEGG_2021_Human,1.5255666721998862,Upregulated,0.3081151884177309,24/84,13.40%
Fatty Acid Transport (GO:0015908),GO_Biological_Process_2025,1.525194951764247,Upregulated,0.3071869291436234,9/29,17.54%
Wide Pore Channel Activity (GO:0022829),GO_Molecular_Function_2025,1.525063867589289,Upregulated,0.305750435257577,7/18,12.76%
Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),GO_Biological_Process_2025,1.5244524508060002,Upregulated,0.3054774016034612,12/32,20.84%
Establishment of Protein Localization to Endoplasmic Reticulum (GO:0072599),GO_Biological_Process_2025,1.5235625097934424,Upregulated,0.3057571216253594,4/16,5.16%
Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,Reactome_2022,1.523555350938232,Upregulated,0.3040387893543753,8/15,24.48%
Response to Alcohol (GO:0097305),GO_Biological_Process_2025,1.522946976691154,Upregulated,0.3036486335473301,9/24,17.77%
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,Reactome_2022,1.522340639862462,Upregulated,0.3031277272749024,5/16,10.80%
Heart Development (GO:0007507),GO_Biological_Process_2025,1.5168452938534054,Upregulated,0.3136748445807561,37/151,15.18%
Positive Regulation of Cholesterol Efflux (GO:0010875),GO_Biological_Process_2025,1.5162713002512107,Upregulated,0.3132067403117256,5/21,5.50%
Nucleotide-Sugar Biosynthetic Process (GO:0009226),GO_Biological_Process_2025,1.5151150036827985,Upregulated,0.3140681772673274,6/22,12.70%
Negative Regulation of Phosphate Metabolic Process (GO:0045936),GO_Biological_Process_2025,1.5139428760909317,Upregulated,0.3149466309173134,5/18,9.33%
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome_2022,1.5138521471098418,Upregulated,0.3134584095338489,6/23,8.07%
Negative Regulation of Microtubule Polymerization or Depolymerization (GO:0031111),GO_Biological_Process_2025,1.513029931223407,Upregulated,0.313611659472413,12/33,21.04%
Excitatory Synapse (GO:0060076),GO_Cellular_Component_2025,1.5126849866112098,Upregulated,0.312636378465658,6/19,12.17%
ER To Golgi Anterograde Transport R-HSA-199977,Reactome_2022,1.5123296341541788,Upregulated,0.3117103271673992,31/124,14.71%
RHO GTPases Activate CIT R-HSA-5625900,Reactome_2022,1.5113565733652117,Upregulated,0.3122177626050492,6/18,11.78%
Glutathione Conjugation R-HSA-156590,Reactome_2022,1.510987302106077,Upregulated,0.3113762369712194,11/30,17.10%
Regulation of lipolysis in adipocytes,KEGG_2021_Human,1.50907997033414,Upregulated,0.3139845777525074,19/51,22.27%
Metabolic Pathways Of Fibroblasts WP5312,WikiPathways_2024_Human,1.5089532682095763,Upregulated,0.3126867773250492,7/31,5.40%
Collagen Fibril Organization (GO:0030199),GO_Biological_Process_2025,1.5084236138486091,Upregulated,0.3121666632518694,18/44,22.96%
Regulation of Epithelial to Mesenchymal Transition (GO:0010717),GO_Biological_Process_2025,1.5081021101679335,Upregulated,0.3112384191264534,28/86,18.69%
Positive Regulation of Smoothened Signaling Pathway (GO:0045880),GO_Biological_Process_2025,1.5073254304305257,Upregulated,0.3113627592831392,11/21,32.02%
Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,Reactome_2022,1.504458272894296,Upregulated,0.3160871078815077,28/72,30.26%
Endothelial Cell Development (GO:0001885),GO_Biological_Process_2025,1.5032210474293852,Upregulated,0.3173864472293287,7/23,15.45%
TCA Cycle Aka Krebs Or Citric Acid Cycle WP78,WikiPathways_2024_Human,1.50172289752457,Upregulated,0.3192495893812963,6/18,12.39%
Potassium Channel Complex (GO:0034705),GO_Cellular_Component_2025,1.5015576752239523,Upregulated,0.3179792227973966,27/69,17.87%
Collagen Formation R-HSA-1474290,Reactome_2022,1.5010776068361125,Upregulated,0.317402196639156,19/79,13.51%
Ventricular Cardiac Muscle Tissue Development (GO:0003229),GO_Biological_Process_2025,1.4996848940735037,Upregulated,0.3186609122079264,10/22,20.84%
Pulmonary Valve Morphogenesis (GO:0003184),GO_Biological_Process_2025,1.4994806836012624,Upregulated,0.3175528102807211,10/19,22.97%
